10048;Esso Tankstelle;ESSO;ASCHAFFENBURGER STR. 1; ;64546;MOERFELDEN-WALLDORF;50.012665;8.584838
10049;FLOERSHEIM, BÜRGERMEISTER- L.;Shell;BÜRGERMEISTER-LAUCK-STR.;"";65439;Floersheim;50.011422;8.420245
10050;LAUFACH, HAUPTSTR. 89.;Shell;HAUPTSTR. 89;"";63846;Laufach;50.0098;9.27837
10051;TOTAL DREIEICH;TOTAL;DARMSTAEDTER STR.;92;63303;DREIEICH;50.00882;8.689436
10052;Aral Tankstelle;ARAL;Hochheimer Straße;25;55246;Mainz-Kostheim;50.00795;8.292079
10053;CLASSIC Mainz-Kostheim;CLASSIC;Hochheimer Str.;47;55246;Mainz-Kostheim;50.0078;8.29552
10054;HOESBACH, INDUSTRIESTR.1.;Shell;INDUSTRIESTR. 1;"";63768;HÖSBACH;50.0062;9.22126
10055;GEISENHEIM, ROSENGASSE.;Shell;ROSENGASSE 30;"";65366;GEISENHEIM;50.0057;7.97966
10056;Aral Tankstelle;ARAL;Okrifteler Straße;18-20;64546;Mörfelden-Walldorf;50.00558;8.567565
10057;Bergler & Kröniger, Marktredwitz;"";Bayreuter Str.;9 a;95615;Marktredwitz;50.005241394043;12.076899528503
10058;Aral Tankstelle;ARAL;Hauptstraße;163;63768;Hösbach;50.0051765;9.211158
10059;MARKTREDWITZ - BAYREUTHER STRASSE 9;Agip;Bayreuther Strasse;9;95615;Marktredwitz;50.00513;12.07753
10060;Walther-Tankstelle Lohr;Walther Automatenstaion;Sackenbacher Str.;34;97816;Lohr;50.00505;9.59022
10061;DIETZENBACH, JUST.V.LIEBIG-S.;Shell;JUSTUS-VON-LIEBIG-STR. 25;"";63128;Dietzenbach;50.00448;8.79312
10062;AVIA Servicestation;AVIA;Bamberger Straße;50;97475;Zeil a. Main;50.004433;10.605024
10063;Kökraf Emine;bft - Walther;Hanauer Str.;66;63801;Kleinostheim;50.004316;9.058177
10064;Rödermark Hauptstrasse 89;OMV;Hauptstr.;89;63322;Rödermark;50.00429;8.8129
10065;Aral Tankstelle;ARAL;Schweinfurter Straße;78;97525;Schwebheim;50.0042648;10.2423677
10066;Esso Tankstelle;ESSO;BAHNHOFSTR. 31; ;55494;RHEINBOELLEN;50.003919;7.674908
10067;Tankstelle am E-Center;E-Center;Wölsauerstr.;12;95615;Marktredwitz;50.0039;12.1003
10068;TOTAL WERNECK;TOTAL;AUTOHOF AM ESCHENBACH;1;97440;WERNECK;50.003345;10.117969
10069;Marktredwitz Bayreuther Strasse 2;OMV;Bayreuther Str.;2;95615;Marktredwitz;50.00306;12.07791
10070;REWE Tankstelle;REWE;Feldstraße ;46;63110;Rodgau/Dudenhofen;50.00287;8.88399
10071;Aral Tankstelle, BAT HEIDENFAHRT NORD;ARAL;A;60;55262;Heidesheim;50.00239;8.109259
10072;RODGAU, FRANKFURTER STR. 97.;Shell;FRANKFURTER STR. 97;"";63110;RODGAU 3 NIEDERRODEN;50.002242;8.865047
10073;AVIA Tankstelle;AVIA;Lennebergstr.;1;55124;Mainz;50.001743;8.203362
10074;Esso Tankstelle;ESSO;KURT-SCHUMACHER-STR. 1-7; ;55124;MAINZ;50.00171463;8.217853944
10075;Winkler-Heidesheim;Winkler;Budenheimer Weg;69;55262;Heidesheim;50.00133472;8.129261138
10076;DREIEICH-GOETZENHAIN - BLEISWIJKER;Agip;Bleiswijker Strasse;200;63303;Dreieich-Goetzenhain;50.00019;8.73126
10077;AVIA Tankstelle;AVIA;Mitterteicher Straße;11;95652;Waldsassen;50.000023;12.297009
10078;tanken&mehr;frei;Bayreuther-Str.;6;95686;Fichtelberg;49.999912;11.849914
10079;MOERFELDEN-WALLDORF, FRANKFURTER LANDSTR.;Shell;FRANKFURTER LANDSTR. 6;"";64546;MOERFELDEN-WALLDORF;49.999683;8.588543
10080;Tankcenter RODGAU;Tankcenter;HAINBURGER STR.;51;63110;RODGAU;49.999493;8.881054
